
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:04:19;Hans
;Comment2;Test2;Value2;;;Hans;Important2;;
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:05:05;eigenaar;
"";Comment2;Test2;Value2;;;Hans;Important2;;;
"";commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
"";commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:06:00;Hans;
;Comment2/ Changed;Test2;Value2;;;Hans;Important2;;;
;commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
;commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:06:59;eigenaar;
"";Comment2/ Changed / Added from D;Test2;Value2;;;Hans;Important2;;;
"";commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
"";commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:51:57;eigenaar;
"";Comment2/ Changed / Added from D;Test2;Value2;;;Hans;Important2;;;
"";commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
"";commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 13:52:16;eigenaar;
"";Comment2/ Changed / Added from D;Test2;Value2;;;Hans;Important2;;;
"";commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
"";commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
Images;Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author;Extra3
"test0 - Copy (2).jpg
test1 - Copy (2).JPG";Comment1;Test1;Value1;;;Hans;Important1;utc 13/02/2016 14:04:47;eigenaar;
"";Comment2/ Changed / Added from D;Test2;Value2;;;Hans;Important2;;;
"";commentaar1;Parameter1;1;;;eigenaar;belangrijk1;;;
"test.jpg
test0 - Copy (2).jpg
test1 - Copy (2).JPG
test1 - Copy(3).jpg";commentaar2;Parameter2;2;;;eigenaar;belangrijk2;;;
"";commentaar3;Parameter3;3;;;eigenaar;belangrijk3;;;extra3
