Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;top_width;134.0;;;Hans;+++;utc 09/03/2013 14:42:51;Hans
;top_length;233.999;;;Hans;+++;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;120.000;;;Hans;;utc 09/30/2013 13:24:38;Hans
;minLength;220.000;;;Hans;;;
;minHeight;15.492;;;Hans;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;120.000;;;Hans;;utc 09/30/2013 13:44:13;Hans
;minLength;220.000;;;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;15.999;;15.492;Hans;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/03/2013 16:09:13;Hans
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/06/2013 17:03:00;Michela
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;15.0;;;Michela;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/06/2013 17:10:57;Michela
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/06/2013 17:18:46;Michela
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
;window's top;2.8;;;Michela;;;
;window's bottom;0.0;;;Michela;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/06/2013 17:20:18;Michela
;minLength;221.998;;220.000;Hans;;;
