Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;124.200;;124.951;Hans;;utc 10/24/2013 09:58:23;Michela
;minLength;253.199;;253.998;Hans;;;
Sorry, forgot to check c-value > 0,09/ Vertical dim top border inside;minHeight;12.880;;2.500;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;density of trusses;17.0;;14.0;Michela;;;
measured from structure underneath;height of top trusses;20.0;;40.0;Michela;;;
measured from structure underneath;height of bottom trusses;15.0;;16.0;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
;PV Annual energy Yield in kWh/a;1663200.0;;;Irem;;;
Request for module surface area, a random value is used;PV module surface area;30000.0;;;Irem;;;
Request for module width, a random value is used;module width;0.45;;;Irem;;;
Truss height is expressed as a fraction of the total width of the roof/ Height of Trusses;Truss Height;5.2;;;Yannis;;;
;Number of Welds;474;;;Yannis;;;
;Average Length of Trusses;9.301975;;;Yannis;;;
